id;level1;level2;level3;level3a;question;keywords
96;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);"I hope you didn't overly generalize the coverage exclusions for ""races"" in AOD. Rally races, for example, take place in normal traffic between speed trials, so the race car needs insurance like a regular personal vehicle (?).";AO, policy, young driver, vehicle usage
97;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);Are close family members living at the same address (partner, children, parents) also covered by AO insurance?;
98;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);Is the use of a seat belt a condition for compensation payment for bodily injuries in passengers?;
99;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);In case a car trailer up to 750 kg, which is detached from the vehicle, starts moving on its own on a sloping terrain and causes damage - how is the coverage?;
100;Information;Insurance policies;Vehicle insurances;Motor vehicle liability insurance (mandatory car insurance);For the policy I am concluding in 2022, is the difference considered between 2021 and 2020? But in this case, when I conclude this policy, the vehicle has not yet undergone a technical inspection, and as a result, there is no current year's status in the eMRLV?;
101;Information;Insurance policies;Vehicle insurance;Motor vehicle liability insurance (mandatory car insurance);How is the mileage discount calculated if the customer first arranges insurance and then goes for a technical inspection?;
102;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);Is it necessary to charge a surcharge for young drivers at driving schools?;
103;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);What about discounts on hybrids and electric vehicles (fuel type discount)?;
104;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);Is it possible to insure harvesters only for the seasonal period?;
105;Information;Insurance policies;Vehicle insurance;Motor liability insurance (mandatory car insurance);What about the surcharge for a replacement vehicle, does it still continue as it was not mentioned among the surcharges?;
106;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);Is the diagnosis of a 'head injury' justification for not wearing a seatbelt and a basis for a 25% reduction?;
107;Information;Insurance policies;Vehicle insurance;Motor vehicle liability insurance (mandatory car insurance);Discount based on fuel type - gasoline -5%. This seems absurd or discriminatory to diesel vehicle owners, as fuel types certainly do not affect safety or damage amount.;
108;Information;Insurance policies;Vehicle insurance;Automobile liability insurance (mandatory car insurance);So drivers who have been driving diesel vehicles for more than 20 years without an accident are not eligible for this discount? Are drivers who drive petrol vehicles with very high kW and many km eligible?;
109;Information;Insurance policies;Vehicle insurances;Motor liability insurance (mandatory car insurance);Competitive insurance company Sava has a price for young drivers AO, AO+, AKA 104 EUR, with our Triglav package discount, e.g., 11%, it comes out to 142 EUR. Will the price remain the same or will we be competitive in the future?;
110;Information;Insurance policies;Vehicle insurance;Motor liability insurance (mandatory car insurance);What about the case of semi-trailers that cover few kilometers?;
111;Information;Insurance policies;Vehicle insurance;Motor liability insurance (mandatory car insurance);Hybrid and electric vehicles - issues when kW values differ on homologation and traffic permit?;
112;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);Is there a surcharge for replacement vehicles - in the case of a tow truck, whether or not it performs the towing service?;
113;Information;Insurance policies;Vehicle insurance;Motor vehicle liability insurance (mandatory car insurance);"Young driver - for example, mother has a vehicle registered in her name as an individual, father as a company. If the child drives the mother's vehicle, they need a young driver policy; if they drive the father's vehicle, they don't need this policy because the additional payment is already made with one policy?";
114;Information;Insurance policies;Vehicle insurance;Motor vehicle liability insurance (mandatory car insurance);Have you arranged for four-wheelers that are homologated as a tractor and are insured under PS 04? They are not included in the catalog for tractors, and we have difficulty determining the price. However, you can find them in the catalog for motorcycles.;
115;Information;Insurance policies;Vehicle insurance;Motor third-party liability insurance (mandatory car insurance);Considering the cancellation of the 20% surcharge for legal entities, will ZT refund the premium on existing policies?;
116;Information;Insurance policies;Vehicle insurance;Insurance of micro-transportation;What is the price of electric bike insurance?;electric bike, premium price, micro transportation, insurance, AvtoMobilno
117;Information;Insurance policies;Small animal insurance;Pet insurance;What are the coverage options for dog insurance?;dog insurance, standard, standard+, extraordinary, coverage
118;Information;Insurance policies;Agricultural insurance;Insurance of crops and fruits;What does the insurance cover?;agricultural insurance, general, coverage, farm insurance, fruits, crops
119;Information;Insurance policies;Agricultural insurance;Insurance of crops and fruits;What additional coverages can I insure?;scope, agricultural insurance, coverage, additional coverage, farm insurance, fruits, crops
120;Information;Insurance policies;Agricultural insurance;Insurance of crops and fruits;What does the insurance not cover?;coverage, agricultural insurance, diseases, excludes, farm, fruits, crops
121;Information;Insurance policies;Agricultural insurance;Crops and fruits insurance;What are the coverage limitations?;coverage, limited, product value, sum insured, agricultural insurance, rural, fruits, crops, participation, deductible
122;Information;Insurance policies;Agricultural insurance;Insurance of crops and fruits;When and how can I pay the first premium amount?;agricultural insurance, payment, premium, method of payment, fruits, crops
123;Information;Insurance policies;Agricultural insurance;Crop and fruit insurance;When does the insurance start and when does it cease to apply?;agricultural insurance, duration, validity, terminates, end, insurance period, fruits, crops
124;Information;Insurance policies;Agricultural insurance;Insurance of crops and fruits;Where is the insurance valid?;agricultural insurance, area, validity, fruits, crops
125;Information;Insurance policies;Agricultural insurance;Crop and fruit insurance;How can I terminate the contract?;agricultural insurance, termination, notice period, end of contract, withdrawal from contract, fruits, crops, 3 months, 30 days
126;Information;Insurance policies;Agricultural insurance;Index-based crop insurance against drought risk;General information;index-based crop insurance, drought, rainfall shortage, general information, index, crops
127;Information;Insurance policies;Agricultural insurance;Crop index insurance against drought risk;What does the insurance cover?;crop index insurance, drought, risk, coverage, index, crops
128;Information;Insurance policies;Agricultural insurances;Index-based crop insurance against drought risk;When does the insurance start and when does it expire?;index-based crop insurance, drought, risk, validity, index, crops
129;Information;Insurance policies;Agricultural insurance;Crop insurance against drought risk;What are the conditions for taking out a policy?;crop insurance, drought, risk, conditions, conclusion, index, crops
130;Information;Insurance policies;Agricultural insurance;Winter crops insurance;What does the insurance cover?;agricultural insurance, general, coverage, farm insurance, winter crops
131;Information;Insurance policies;Agricultural insurance;Insurance of winter crops;What additional coverage can I get?;scope, agricultural insurance, coverage, additional insurance, farm insurance, winter crops
132;Information;Insurance policies;Agricultural insurance;Winter crops insurance;What does the insurance not cover?;coverage, agricultural insurance, diseases, excludes, farm, winter crops, limitations
133;Information;Insurance policies;Agricultural insurance;Winter crop insurance;When and how can I pay the first premium amount?;agricultural insurance, payment, premium, payment method, winter crops
134;Information;Insurance policies;Agricultural insurance;Winter crop insurance;When does the insurance start and when does it expire?;agricultural insurance, duration, validity, expiration, end, insurance period, winter crops, guarantee
135;Information;Insurance policies;Agricultural insurances;Insurance of winter crops;What are my obligations?;obligations, agricultural insurance, duties, winter crops
136;Information;Insurance policies;Agricultural insurance;Winter crops insurance;Where is the insurance valid?;validity, area, region, winter crops
137;Information;Insurance policies;Agricultural insurance;Winter crop insurance;How can I cancel the contract?;agricultural insurance, cancellation, cancellation period, end of contract, contract termination, winter crops
138;Information;Insurance policies;Agricultural insurance;Insurance of livestock and horses;What does the insurance cover?;agricultural insurance, animals, disease, slaughter, coverage
139;Information;Insurance policies;Agricultural insurance;Insurance for farm animals and horses;What additional coverage can I get?;extent, agricultural insurance, covering, additional insurance, animals, rural, treatment
140;Information;Insurance policies;Agricultural insurance;Insurance of farm animals and horses;What does the insurance not cover?;agricultural insurance, general, coverage, farm insurance, animals
141;Information;Insurance policies;Agricultural insurance;Insurance of livestock and horses;What are the coverage limitations?;limited, coverage, treatment, agricultural insurance, animals
142;Information;Insurance policies;Agricultural insurance;Insurance of farm animals and horses;When and how can I pay the first premium amount?;agricultural insurance, payment, premium, payment method, animals
143;Information;Insurance policies;Agricultural insurances;Insurance of farm animals and horses;When does the insurance start and when does it cease to be valid?;agricultural insurance, duration, validity, cease, end, insurance period, animals
144;Information;Insurance policies;Agricultural insurances;Insurance of farm animals and horses;Where is the insurance valid?;validity, area, region, animals
145;Information;Insurance policies;Agricultural insurance;Insurance for livestock and horses;What are my obligations?;obligations, agricultural insurance, duties, animals
146;Information;Insurance policies;Agricultural insurance;Insurance of farm animals and horses;How can I withdraw from the contract?;agricultural insurance, cancellation, cancellation period, end of contract, withdrawal from contract, animals
147;Information;Insurance policies;Agricultural insurance;Accident insurance for pedigree cows;What does the insurance cover?;agricultural insurance, accident insurance, pedigree cows, information
148;Information;Insurance policies;Agricultural insurance;Livestock package;What does the insurance cover?;breeding pedigree cows, insurance for pedigree cows, livestock package
149;Information;Insurance policies;Accident insurance;Individual accident insurance;General information;Individual accident insurance, general, covers, not covered, validity, duration, abroad
150;Information;Insurance policies;Personal accident insurance;Individual personal accident insurance;Where is the insurance valid?;Individual personal accident insurance, validity, abroad
151;Information;Insurance policies;Accident insurance;Individual accident insurance;What does the insurance payment amount depend on?;Individual accident insurance, amount, insurance payment
152;Information;Insurance policies;Accident insurance;Individual accident insurance;What is the difference between individual and collective accident insurance?;individual accident insurance, collective accident insurance, difference
153;Information;Insurance policies;Accident insurance;Individual accident insurance;How do I make an informative calculation?;informative calculation, accident insurance, offer, agent, online closure
154;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;What does the insurance cover?;accident insurance, children, youth, coverage
155;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;What can I insure additionally?;accident insurance, children, youth, coverage, additional coverage, surcharge
156;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;What does the insurance not cover?;accident insurance, children, youth, coverage, not included, excludes
157;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;What are the coverage limitations?;accident insurance, children, youth, coverage, not included, excludes
158;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;When and how can I pay the first premium amount?;premium payment, accident insurance, youth, children, payment method, payment options
159;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;When does the insurance start and when does it end?;insurance coverage, start of coverage, validity, start of insurance, termination, insurance year, completed age, end of insurance, premium payment, accident insurance, children, youth
160;Information;Insurance policies;Accident insurances;Accident insurance for children and youth;Where is the insurance valid?;validity, countries, accident insurance, children, youth, insurance area
161;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;What are my obligations?;obligations, accident insurance, children, youth, accident report
162;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;How can I cancel the contract?;withdrawal from contract, termination of insurance, accident insurance, children, youth
163;Information;Insurance policies;Accident insurance;"Accident insurance ""Pazi name""";What does accident insurance cover in case of damage?;injury, coverage, accident insurance for young people
164;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;What is the procedure in case of injury to a child or adolescent?;injury, damage handling, damage report, documentation, form
165;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;How to report an accident?;claim report, accident report, form, documentation, evidence
166;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;Can I submit a damage claim without an insurance certificate or policy number?;damage claim, insurance certificate, policy number, form
167;Information;Insurance policies;Accident insurances;Accident insurance Pazi name;What does it mean that accident insurance has no expiration?;no expiration, permanent, automatic renewal, conclusion, youth accident insurance
168;Information;Insurance policies;Accident insurances;Accident insurance Take care of me;How to conclude insurance?;conclusion, accident insurance for children, Take care of me
169;Information;Insurance policies;Accident insurance;Accident insurance Pay attention to me;Can I conclude accident insurance for young people during the year?;conclusion, accident insurance for children, Pay attention to me
170;Information;Insurance policies;Accident insurance;Accident insurance Take care of me;Is accident insurance valid abroad and during holidays?;abroad, holidays, insurance validity, accident insurance for children, take care of me
171;Information;Insurance policies;Accident insurance;Beware of my name accident insurance;What is the accident coverage for persons with athlete status?;athlete status, accident, sports package, youth accident insurance, 66%
172;Information;Insurance policies;Accident insurance;Be careful with my accident insurance;What are the conditions of the promotional offer for accident insurance?;promotional offer for accident insurance, conditions
173;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;When and how can I pay the first premium amount?;form, online insurance conclusion, youth accident insurance, premium payment
174;Information;Insurance policies;Accidental insurance;Accidental insurance Pazi name;Is it possible to pay at the sales point when concluding online?;online insurance conclusion, youth accidental insurance, premium, UPN form, payment
175;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;What is the status of an accident claim?;accident claim, claim status, youth accident insurance
176;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;Where do I get a certificate of insurance?;conclusion, policy number, certificate, youth accident insurance
177;Information;Insurance policies;Accident insurance;Accident insurance Take care of me;What does the accident package include?;accident package, conclusion, branch, Triglav package, discount
178;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;How can I conclude the Accident package?;accident package, conclusion, branch, agent, youth accident insurance
179;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;What is the discount amount for a large family in accident insurance for young people?;large family, children, discount, 20 %, accident insurance for young people, invoice, promotional insurance
180;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;What is the daily allowance?;daily allowance, payment, documents, proof, diagnosis, medical examination, progression, accident insurance
181;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;Where are the amounts of payments in case of injury listed?;payment, 100%, severe injury, table, clause, policy, general terms, youth accident insurance
182;Information;Insurance policies;Accident insurance;Take care of me accident insurance;What is the coverage in case of disability?;disability, serious injuries, table, percentages, accident insurance for young people
183;Information;Insurance policies;Accident insurance;Accident insurance Take care of me;Why did I receive documents for insurance renewal?;documents, insurance renewal, calculation, invoice, UPN, youth accident insurance, permanent
184;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;How is the child's insurance arranged when they turn 26?;termination, 26 years, accident insurance for young people
185;Information;Insurance policies;Accident insurance;Pazi name Accident Insurance;How do I terminate accident insurance for young people?;termination, withdrawal from contract, policy, accident insurance for young people
186;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;How do I change the package or add new coverage?;termination, new coverage, policy, youth accident insurance
187;Information;Insurance Policies;Accident Insurance;Accident Insurance Watch Out for Me;How do I add sports risk coverage to an existing policy?;add coverage, extension, sports risk, existing policy, policy change
188;Information;Insurance policies;Accident insurances;Accident insurance Pazi name;Can I include accident insurance in the Triglav package?;Triglav package, discount, promotional insurances, package A, B, C, D, SPORT, accident insurances for young people, regular offer
189;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;Why did I receive a notification about a premium change because the child turned 14 years old?;premium change, accident death, youth accident insurance, coverage
190;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;Why can't I conclude accident insurance for young people online?;online conclusion, online, permanent insurance, automatic renewal, accident insurance for young people
191;Information;Insurance policies;Accident Insurance;Take Care Accident Insurance;What are the insurance options after the termination of young people's accident insurance?;termination, young people's accident insurance, 26 years old
192;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;What is the amount of the discount when renewing insurance?;conclusion, renewal, discount, Triglav package, accident insurance for young people
193;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;Where can I find the code for a 20% discount on the online conclusion of promotional insurance?;promotional codes, discount, 20%, promotional insurance, accident insurance for young people
194;Information;Insurance policies;Accident insurance;Be careful with me accident insurance;Where can I find accident insurance offers for young people?;insurance offer, accident insurance for young people
195;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;Who is the accident insurance for young people intended for?;students, age, accident insurance for young people, 26 years old
196;Information;Insurance policies;Accident insurance;Accident insurance for athletes;How can we insure people who are involved in risky sports?;risky sports, athletes, accident insurance, extreme sports
197;Information;Insurance policies;Accident insurance;Athletes' accident insurance;What does the insurance cover?;accident insurance for amateur athletes, professional athletes
198;Information;Insurance policies;Accident insurance;Accident insurance for athletes;How to insure people when using rented recreational equipment?;recreational equipment, accident insurance
199;Information;Insurance policies;Accident insurance;Accident insurance for athletes;What is the amount of insurance coverage?;insurance coverage, accident insurance, documentation
200;Information;Insurance policies;Accident insurances;Accident insurance for bank customers and financial companies, as well as holders of personal accounts;General information;accident insurance for bank customers, financial companies, holders of personal accounts, conclusion, information
201;Information;Insurance policies;Accident insurance;Accident insurance for bank clients, financial companies, and personal account holders;What does the insurance cover?;accident insurance for bank clients, financial companies, personal account holders, coverage, risks
202;Information;Insurance policies;Accident insurance;Accident insurance for clients of banks and financial companies and holders of personal accounts;When does the insurance begin and end?;accident insurance for clients of banks, financial companies, holders of personal accounts, guarantee, validity
203;Information;Insurance policies;Accident insurance;Accident insurance for clients of banks and financial companies and personal account holders;What is the amount of insurance compensation?;accident insurance for clients of banks, financial companies, personal account holders, documentation, insurance compensation
204;Information;Insurance policies;Accident insurance;Accident insurance for bank clients and financial companies as well as personal account holders;How do I find out if I am also insured through my payment - bank card?;coverage, accident insurance for bank clients, financial companies, bank card
