id;level1;level2;level3;level3a;question;keywords
106;Information;Insurance policies;Vehicle insurance;Automotive liability insurance (mandatory car insurance);"Is the diagnosis of a ""head impact"" justification for not using a seatbelt and a basis for a 25% reduction?";
107;Information;Insurance policies;Vehicle insurance;Motor liability insurance (mandatory car insurance);Discount based on fuel type - gasoline -5%. This seems absurd or discriminatory to diesel vehicle owners, as the fuels surely do not affect safety or the amount of damage.;
108;Information;Insurance policies;Vehicle insurance;Motor vehicle liability insurance (mandatory car insurance);So drivers who drive diesel vehicles older than 20 years without accidents not entitled to this discount? Are drivers who drive gasoline vehicles with very high kW and many miles eligible?;
109;Information;Insurance policies;Vehicle insurance;Compulsory car liability insurance;Competitive insurance company Sava has a price for young driver AO, AO+, AKA 104 EUR, with us, for example, with a Triglav complete discount of 11%, it is 142 EUR. Will the price remain the same or will we be competitive in the future?;
110;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);What about semi-trailers that do few kilometers?;
111;Information;Insurance policies;Vehicle insurance;Automobile liability insurance (mandatory car insurance);Hybrid and electric vehicles - problems when kW is different on homologation and traffic?;
112;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);Are additional charges for replacement vehicles being abolished - in case of a tow truck providing the towing service, whether or not it needs this service?;
113;Information;Insurance policies;Vehicle insurance;Automobile liability insurance (mandatory car insurance);Young driver - for example, the mother owns the vehicle as an individual, and the father owns another vehicle as a company. If the child drives the mother's vehicle, does he/she need a young driver policy, and if driving the father's vehicle, does he/she not need this policy because he/she already has a surcharge paid on one policy?;
114;Information;Insurance policies;Vehicle insurance;Car liability insurance (compulsory car insurance);Have you also arranged quads that are homologated as a tractor and insured according to PS 04? They are not in the catalog with tractors and we have a problem determining the price. However, you can find them in the catalog for motorcycles.;
115;Information;Insurance policies;Vehicle insurance;Car liability insurance (mandatory car insurance);Considering the abolition of the 20% surcharge for legal entities, will ZT reimburse premiums on existing policies?;
116;Information;Insurance policies;Vehicle insurance;Micro vehicle insurance;What is the price of electric bicycle insurance?;electric bicycle, premium price, micro vehicle, insurance, CarInsurance
117;Information;Insurance policies;Small animal insurance;Pet insurance;What are the coverage options for dog insurance?;dog insurance, standard, standard+, above standard, coverage
118;Information;Insurance policies;Agricultural insurance;Insurance of crops and fruits;What does the insurance cover?;agricultural insurance, general, coverage, rural insurance, fruits, crops
119;Information;Insurance policies;Agricultural insurance;Crop and fruit insurance;What can I additionally insure?;scope, agricultural insurance, covers, additional coverage, farm insurance, fruits, crops
120;Information;Insurance policies;Agricultural insurance;Insurance of crops and fruits;What does the insurance not cover?;coverage, agricultural insurance, diseases, excludes, farm, fruits, crops
121;Information;Insurance policies;Agricultural insurance;Insurance of crops and fruits;What are the coverage limits?;coverage, limited, product value, insurance amount, agricultural insurance, farm, fruits, crops, participation, franchise
122;Information;Insurance policies;Agricultural insurance;Crop and fruit insurance;When and how can I pay the first premium amount?;agricultural insurance, payment, premium, payment method, fruits, crops
123;Information;Insurance policies;Agricultural insurances;Insurance for crops and fruits;When does the insurance start and when does it end?;agricultural insurance, duration, validity, termination, end, insurance period, fruits, crops
124;Information;Insurance policies;Agricultural insurance;Insurance for crops and fruits;Where is the insurance valid?;agricultural insurance, area, validity, fruits, crops
125;Information;Insurance policies;Agricultural insurance;Insurance of crops and fruits;How can I withdraw from the contract?;agricultural insurance, termination, notice period, end of contract, withdrawal from contract, fruits, crops, 3 months, 30 days
126;Information;Insurance policies;Agricultural insurance;Index insurance of crops against drought risk;General information;index crop insurance, drought, lack of precipitation, general information, index, crops
127;Information;Insurance policies;Agricultural insurance;Index insurance of crops against the risk of drought;What does the insurance cover?;index insurance of crops, drought, risk, coverage, index, crops
128;Information;Insurance policies;Agricultural insurances;Index-based crop insurance against the risk of drought;When does the insurance start and when does it cease to be valid?;index-based crop insurance, drought, risk, validity, index, crops
129;Information;Insurance policies;Agricultural insurance;Index-based crop insurance against drought risk;What are the terms of concluding?;index-based crop insurance, drought, risk, terms, concluding, index, crops
130;Information;Insurance policies;Agricultural insurance;Insurance of winter crops;What does the insurance cover?;agricultural insurance, general, coverage, rural insurance, winter crops
131;Information;Insurance policies;Agricultural insurance;Winter crops insurance;What can I insure additionally?;scope, agricultural insurance, coverage, additional insurance, farm insurance, winter crops
132;Information;Insurance policies;Agricultural insurance;Winter crop insurance;What is not covered by the insurance?;coverage, agricultural insurance, diseases, excludes, farming, winter crops, limitations
133;Information;Insurance policies;Agricultural insurance;Winter crop insurance;When and how can I pay the first premium amount?;agricultural insurance, payment, premium, payment method, winter crops
134;Information;Insurance policies;Agricultural insurance;Winter crops insurance;When does the insurance start and when does it expire?;agricultural insurance, duration, validity, expires, end, insurance period, winter crops, guarantee
135;Information;Insurance policies;Agricultural insurance;Winter crops insurance;What are my obligations?;obligations, agricultural insurance, duties, winter crops
136;Information;Insurance policies;Agricultural insurance;Insurance for winter crops;Where is the insurance valid?;validity, area, region, winter crops
137;Information;Insurance policies;Agricultural insurance;Winter crops insurance;How can I terminate the contract?;agricultural insurance, cancellation, notice period, end of contract, withdrawal from contract, winter crops
138;Information;Insurance policies;Agricultural insurance;Insurance for farm animals and horses;What does the insurance cover?;agricultural insurance, animals, diseases, slaughter, coverage
139;Information;Insurance policies;Agricultural insurance;Insurance for farm animals and horses;What additional things can I insure?;scope, agricultural insurance, coverage, additional insurance, animals, rural, treatment
140;Information;Insurance policies;Agricultural insurance;Insurance for livestock and horses;What is not covered by the insurance?;agricultural insurance, general, coverage, farm insurance, animals
141;Information;Insurance policies;Agricultural insurance;Insurance for farm animals and horses;What are the coverage limits?;limited, coverage, treatment, agricultural insurance, animals
142;Information;Insurance policies;Agricultural insurance;Insurance of farm animals and horses;When and how can I pay the first premium amount?;agricultural insurance, payment, premium, payment method, animals
143;Information;Insurance policies;Agricultural insurance;Insurance of farm animals and horses;When does the insurance start and when does it expire?;agricultural insurance, duration, validity, expiration, end, insurance period, animals
144;Information;Insurance policies;Agricultural insurance;Insurance of farm animals and horses;Where is the insurance valid?;validity, area, zone, animals
145;Information;Insurance policies;Agricultural insurance;Insurance of farm animals and horses;What are my obligations?;obligations, agricultural insurance, duties, animals
146;Information;Insurance policies;Agricultural insurance;Insurance of farm animals and horses;How can I withdraw from the contract?;agricultural insurance, cancellation, notice period, end of contract, withdrawal from contract, animals
147;Information;Insurance policies;Agricultural insurance;Accident insurance for pedigree cows;What does the insurance cover?;agricultural insurance, accident insurance, pedigree cows, information
148;Information;Insurance policies;Agricultural insurances;Livestock package;What does the insurance cover?;breeding of pedigree cows, insurance for pedigree cows, livestock package
149;Information;Insurance policies;Accident insurance;Individual accident insurance;General information;Individual accident insurance, general, covers, does not cover, validity, duration, abroad
150;Information;Insurance policies;Accident insurance;Individual accident insurance;Where is the insurance valid?;Individual accident insurance, validity, abroad
151;Information;Insurance policies;Accident insurance;Individual accident insurance;What does the amount of insurance benefit depend on?;Individual accident insurance, amount, insurance benefit
152;Information;Insurance policies;Accident insurance;Individual accident insurance;What is the difference between individual and collective accident insurance?;Individual accident insurance, collective accident insurance, difference
153;Information;Insurance policies;Accident insurance;Individual accident insurance;How do I make an informative calculation?;informative calculation, accident insurance, offer, agent, online conclusion
154;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;What does the insurance cover?;accident insurance, children, youth, coverage
155;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;What can I additionally insure?;accident insurance, children, youth, coverage, additional coverage, supplement
156;Information;Insurance policies;Accident insurance;Accident insurance for children and young people;What does the insurance not cover?;accident insurance, children, young people, coverage, not included, excludes
157;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;What are the coverage limitations?;accident insurance, children, youth, coverage, not included, excludes
158;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;When and how can I pay the first premium amount?;premium payment, accident insurance, youth, children, payment method, payment options
159;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;When does the insurance start and when does it end?;insurance coverage, coverage start, validity, insurance start, termination, insurance year, completed age, end of insurance, premium payment, accident insurance, children, youth
160;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;Where is the insurance valid?;validity, countries, accident insurance, children, youth, insurance area
161;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;What are my obligations?;obligations, accident insurance, children, youth, accident report
162;Information;Insurance policies;Accident insurance;Accident insurance for children and youth;How can I withdraw from the contract?;withdrawal from the contract, termination of insurance, accident insurance, children, youth
163;Information;Insurance policies;Accident insurance;Accident insurance Be careful name;What does accident insurance cover in case of damage?;injury, coverage, accident insurance for young people
164;Information;Insurance policies;Accident insurances;Pazi name accident insurance;What is the procedure in case of injury to a child or young person?;injury, damage management, claim filing, documentation, form
165;Information;Insurance policies;Accident insurance;Pazi name Accident Insurance;How to report an accident?;damage report, accident report, form, documentation, evidence
166;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;Can I report a claim without a certificate of insurance or policy number?;claim report, insurance certificate, policy number, form
167;Information;Insurance policies;Accident insurance;Beware of the name accident insurance;What does it mean for accident insurance to be without expiry?;without expiry, permanent, automatic renewal, conclusion, youth accident insurance
168;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;How to conclude insurance?;concluding, accident insurance for children, Pazi name
169;Information;Insurance policies;Accident insurance;Accident insurance Watch over me;Can I take out accident insurance for young people during the year?;conclusion, accident insurance for children, Watch over me
170;Information;Insurance policies;Accident insurance;Pazi name accident insurance;Is accident insurance valid abroad and during holidays?;abroad, holidays, insurance validity, accident insurance for children, pazi name
171;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;What is the coverage in case of an accident for persons with athlete status?;athlete status, accident, sports package, accident insurance for young people, 66%
172;Information;Insurance policies;Accident insurance;Beware of Name Accident Insurance;What are the terms of the promotional offer for accident insurance?;promotional offer for accident insurance, terms
173;Information;Insurance policies;Accident insurance;Accident insurance Take care of yourself;When and how can I pay the first premium amount?;form, online conclusion of insurance, accident insurance for young people, premium payment
174;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;Is it possible to pay at the point of sale when concluding online?;online insurance conclusion, youth accident insurance, premium, UPN form, payment
175;Information;Insurance policies;Accident insurances;Accident insurance Pazi name;What is the status of the accident claim?;accident report, damage status, youth accident insurance
176;Information;Insurance policies;Accident insurance;Pazi name accident insurance;Where do I get a certificate of concluded insurance?;conclusion, policy number, certificate, youth accident insurance
177;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;What does the accident package include?;accident package, conclusion, branch, Triglav package, discount
178;Information;Insurance policies;Accident insurances;Accident insurance Pazi name;How can I conclude a Nezgoda komplet?;nezgoda komplet, conclusion, branch, agent, accident insurance for young people
179;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;What is the discount rate for a large family in youth accident insurance?;large family, children, discount, 20%, youth accident insurance, account, promotional insurance
180;Information;Insurance policies;Accident insurance;Beware of Name Accident Insurance;What is the daily allowance?;daily allowance, payment, documents, proofs, diagnosis, medical examination, progression, accident insurance
181;Information;Insurance policies;Accident insurance;Pazi name accident insurance;Where are the amounts of payments for injuries listed?;payment, 100%, serious injury, table, clause, policy, general conditions, youth accident insurance
182;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;What is the coverage in case of disability?;disability, severe injuries, table, percentages, accident insurance for young people
183;Information;Insurance policies;Accident insurance;Accident Insurance Watch out for me;Why have I received documents for insurance renewal?;documents, insurance renewal, calculation, invoice, UPN, youth accident insurance, permanent
184;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;How is the child's insurance arranged when they turn 26?;termination, 26 years, accident insurance for young people
185;Information;Insurance policies;Accident insurances;Accident insurance Watch over the name;How do I terminate accident insurance for young people?;termination, withdrawal from the contract, policy, accident insurance for young people
186;Information;Insurance policies;Accident insurance;Beware of the name accident insurance;How do I change the package or add new coverage?;cancellation, new coverage, policy, youth accident insurance
187;Information;Insurance policies;Accident insurance;Pazi name accident insurance;How do I add sports risk coverage to an existing policy?;coverage attachment, expansion, sports risk, existing policy, policy change
188;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;Can I include accident insurance in Triglav package?;Triglav package, discount, promotional insurance, package A, B, C, D, SPORT, accident insurance for youth, regular offer
189;Information;Insurance policies;Accident insurance;Accident insurance Pazi name;Why did I receive a notice about a premium change because my child turned 14 years old?;premium change, accidental death, youth accident insurance, coverage
190;Information;Insurance policies;Accident insurance;Watch me accident insurance;Why can't I conclude accident insurance for young people online?;conclusion via the Internet, online, permanent insurance, automatic renewal, accident insurance for young people
191;Information;Insurance policies;Accident insurance;Pazi name accident insurance;What are the insurance options after the termination of young people's accident insurance?;termination, young people's accident insurance, 26 years old
192;Information;Insurance policies;Accident insurance;Pazi name accident insurance;What is the amount of the discount when renewing the insurance?;conclusion, renewal, discount, Triglav complete, youth accident insurance
193;Information;Insurance policies;Accident insurance;Accident insurance Take care of name;Where can I find a 20% discount code for online conclusion of promotional insurance?;promotional codes, discount, 20%, promotional insurance, youth accident insurance
194;Information;Insurance policies;Accident insurance;Accident insurance Watch out name;Where can I find accident insurance offers for young people?;insurance offer, accident insurance for young people
195;Information;Insurance policies;Accident insurance;Accident insurance Take care of the name;Who is the accident insurance for young people intended for?;students, age, accident insurance for young people, 26 years
196;Information;Insurance policies;Accident insurance;Accident insurance for athletes;How can we insure individuals involved in risky sports?;risky sport, athletes, accident insurance, extreme sports
197;Information;Insurance policies;Accident insurance;Athletes' accident insurance;What does the insurance cover?;amateur athletes accident insurance, professional athletes
198;Information;Insurance policies;Accident insurance;Accident insurance for athletes;How to insure people when using rented recreational equipment?;recreational equipment, accident insurance
199;Information;Insurance policies;Accident insurance;Accident insurance for athletes;What is the amount of insurance payment?;insurance payment, accident insurance, documentation
200;Information;Insurance policies;Accident insurance;Accident insurance for bank customers and financial company clients and personal account holders;General information;accident insurance for bank customers, financial company clients, personal account holders, conclusion, information
201;Information;Insurance policies;Accident insurance;Accident insurance for clients of banks and financial companies as well as personal account holders;What does the insurance cover?;accident insurance for bank clients, financial companies, personal account holders, coverage, risks
202;Information;Insurance policies;Accident insurance;Accident insurance for bank customers, financial companies, and personal account holders;When does the insurance start and when does it expire?;accident insurance for bank customers, financial companies, personal account holders, guarantee, validity
203;Information;Insurance policies;Accident insurance;Accident insurance for bank customers, financial companies, and personal account holders;What is the amount of the insurance indemnity?;accident insurance for bank customers, financial companies, personal account holders, documentation, insurance indemnity
204;Information;Insurance policies;Accident insurance;Accident insurance for bank customers, financial companies, and personal account holders;How can I find out if I am also insured with a payment - bank card?;coverage, accident insurance for bank customers, financial companies, bank card
